Num of neighbors (K),Num processors,Num of points,Speed-Up,Efficency
20,2,16384,1.3134931713390499,0.6567465856695249
20,4,16384,2.6971833699379646,0.6742958424844911
20,8,16384,4.540818087425718,0.5676022609282148
20,16,16384,6.4960791522259775,0.4060049470141236
20,32,16384,9.20883305869872,0.287776033084335
20,64,16384,13.645684552260347,0.21321382112906792
20,2,32768,1.3305766578127323,0.6652883289063661
20,4,32768,2.896462330868014,0.7241155827170035
20,8,32768,5.058821054810867,0.6323526318513584
20,16,32768,8.050765142387213,0.5031728213992008
20,32,32768,12.939926519595028,0.40437270373734463
20,64,32768,16.05881254065344,0.25091894594771
20,2,65536,1.3208853471597326,0.6604426735798663
20,4,65536,2.928069782640689,0.7320174456601722
20,8,65536,5.386673980635625,0.6733342475794531
20,16,65536,8.931977132393847,0.5582485707746154
20,32,65536,16.31697690494778,0.5099055282796181
20,64,65536,24.798772112250774,0.38748081425391834
