Parallel time taken: 0.004965 seconds
Neighbor 2: Point 8 (Distance: 16.434069)
Neighbor 3: Point 12 (Distance: 16.774712)
Neighbor 4: Point 81 (Distance: 21.825754)
Neighbor 5: Point 50 (Distance: 24.567999)
Neighbor 1: Point 73 (Distance: 13.944680)
Neighbor 2: Point 94 (Distance: 17.423737)
Neighbor 3: Point 58 (Distance: 19.416561)
Neighbor 4: Point 27 (Distance: 28.549036)
Neighbor 5: Point 90 (Distance: 29.882116)
Neighbor 1: Point 98 (Distance: 7.934542)
Neighbor 2: Point 69 (Distance: 11.251777)
Neighbor 3: Point 15 (Distance: 12.888362)
Neighbor 4: Point 84 (Distance: 13.204385)
Neighbor 5: Point 32 (Distance: 15.294110)
Neighbor 1: Point 81 (Distance: 5.611814)
Neighbor 2: Point 54 (Distance: 11.689216)
Neighbor 3: Point 45 (Distance: 16.762348)
Neighbor 4: Point 95 (Distance: 20.803566)
Neighbor 5: Point 68 (Distance: 21.323332)
Neighbor 1: Point 79 (Distance: 5.557987)
Neighbor 2: Point 43 (Distance: 7.447425)
Neighbor 3: Point 67 (Distance: 17.083693)
Neighbor 4: Point 34 (Distance: 25.207312)
Neighbor 5: Point 44 (Distance: 31.948786)
Neighbor 1: Point 93 (Distance: 7.983993)
Neighbor 2: Point 60 (Distance: 11.092474)
Neighbor 3: Point 1 (Distance: 25.059080)
Neighbor 4: Point 89 (Distance: 31.991484)
Neighbor 5: Point 91 (Distance: 34.008694)
Neighbor 1: Point 23 (Distance: 4.306096)
Neighbor 2: Point 64 (Distance: 11.537045)
Neighbor 3: Point 61 (Distance: 13.687429)
Neighbor 4: Point 41 (Distance: 17.949343)
Neighbor 5: Point 3 (Distance: 18.000622)
Neighbor 1: Point 50 (Distance: 11.689216)
Neighbor 2: Point 81 (Distance: 12.021146)
Neighbor 3: Point 13 (Distance: 16.631926)
Neighbor 4: Point 58 (Distance: 23.519281)
Neighbor 5: Point 45 (Distance: 24.402985)
Neighbor 1: Point 62 (Distance: 9.650069)
Neighbor 2: Point 59 (Distance: 20.978308)
Neighbor 3: Point 31 (Distance: 22.559938)
Neighbor 4: Point 35 (Distance: 25.937096)
Neighbor 5: Point 83 (Distance: 27.205887)
Neighbor 1: Point 78 (Distance: 18.324772)
Neighbor 2: Point 7 (Distance: 19.193930)
Neighbor 3: Point 96 (Distance: 20.409073)
Neighbor 4: Point 80 (Distance: 21.732521)
Neighbor 5: Point 22 (Distance: 22.541103)
Neighbor 1: Point 6 (Distance: 9.061161)
Neighbor 2: Point 18 (Distance: 18.635073)
Neighbor 3: Point 26 (Distance: 18.897373)
Neighbor 4: Point 16 (Distance: 21.007294)
Neighbor 5: Point 42 (Distance: 25.578468)
Neighbor 1: Point 73 (Distance: 18.802935)
Neighbor 2: Point 13 (Distance: 19.337694)
Neighbor 3: Point 48 (Distance: 19.416561)
Neighbor 4: Point 54 (Distance: 23.519281)
Neighbor 5: Point 90 (Distance: 26.003891)
Neighbor 1: Point 35 (Distance: 10.024244)
Neighbor 2: Point 31 (Distance: 14.249836)
Neighbor 3: Point 92 (Distance: 16.858343)
Neighbor 4: Point 55 (Distance: 20.978308)
Neighbor 5: Point 12 (Distance: 22.888041)
Neighbor 1: Point 93 (Distance: 5.541804)
Neighbor 2: Point 52 (Distance: 11.092474)
Neighbor 3: Point 1 (Distance: 22.790304)
Neighbor 4: Point 89 (Distance: 29.423761)
Neighbor 5: Point 91 (Distance: 30.071589)
Neighbor 1: Point 23 (Distance: 10.893489)
Neighbor 2: Point 88 (Distance: 11.043598)
Neighbor 3: Point 53 (Distance: 13.687429)
Neighbor 4: Point 3 (Distance: 17.408247)
Neighbor 5: Point 70 (Distance: 20.219130)
Neighbor 1: Point 55 (Distance: 9.650069)
Neighbor 2: Point 83 (Distance: 20.092693)
Neighbor 3: Point 59 (Distance: 24.141388)
Neighbor 4: Point 87 (Distance: 26.524389)
Neighbor 5: Point 35 (Distance: 26.803646)
Neighbor 1: Point 66 (Distance: 8.233562)
Neighbor 2: Point 75 (Distance: 18.508451)
Neighbor 3: Point 70 (Distance: 22.126612)
Neighbor 4: Point 8 (Distance: 26.080072)
Neighbor 5: Point 37 (Distance: 27.608191)
Neighbor 1: Point 53 (Distance: 11.537045)
Neighbor 2: Point 23 (Distance: 11.737292)
Neighbor 3: Point 7 (Distance: 17.932930)
Neighbor 4: Point 3 (Distance: 18.467758)
Neighbor 5: Point 38 (Distance: 18.803503)
Neighbor 1: Point 0 (Distance: 18.525791)
Neighbor 2: Point 35 (Distance: 20.019045)
Neighbor 3: Point 88 (Distance: 23.580751)
Neighbor 4: Point 83 (Distance: 26.076138)
Neighbor 5: Point 59 (Distance: 29.101339)
Neighbor 1: Point 63 (Distance: 8.233562)
Neighbor 2: Point 70 (Distance: 15.980610)
Neighbor 3: Point 75 (Distance: 21.362902)
Neighbor 4: Point 8 (Distance: 24.026327)
Neighbor 5: Point 40 (Distance: 24.357647)
Neighbor 1: Point 43 (Distance: 12.558289)
Neighbor 2: Point 51 (Distance: 17.083693)
Neighbor 3: Point 34 (Distance: 18.384605)
Neighbor 4: Point 79 (Distance: 18.453056)
Neighbor 5: Point 75 (Distance: 29.094007)
Neighbor 1: Point 71 (Distance: 9.035865)
Neighbor 2: Point 8 (Distance: 14.839122)
Neighbor 3: Point 45 (Distance: 19.138403)
Neighbor 4: Point 81 (Distance: 19.551512)
Neighbor 5: Point 50 (Distance: 21.323332)
Neighbor 1: Point 98 (Distance: 11.101949)
Neighbor 2: Point 49 (Distance: 11.251777)
Neighbor 3: Point 84 (Distance: 12.586877)
Neighbor 4: Point 15 (Distance: 19.910046)
Neighbor 5: Point 28 (Distance: 20.509329)
Neighbor 1: Point 3 (Distance: 14.079071)
Neighbor 2: Point 66 (Distance: 15.980610)
Neighbor 3: Point 38 (Distance: 16.717232)
Neighbor 4: Point 61 (Distance: 20.219130)
Neighbor 5: Point 23 (Distance: 21.302328)
Neighbor 1: Point 68 (Distance: 9.035865)
Neighbor 2: Point 8 (Distance: 12.834601)
Neighbor 3: Point 37 (Distance: 20.425692)
Neighbor 4: Point 75 (Distance: 20.552044)
Neighbor 5: Point 45 (Distance: 21.496384)
Neighbor 1: Point 14 (Distance: 16.377483)
Neighbor 2: Point 92 (Distance: 17.310667)
Neighbor 3: Point 36 (Distance: 19.564966)
Neighbor 4: Point 25 (Distance: 20.788034)
Neighbor 5: Point 90 (Distance: 20.804304)
Neighbor 1: Point 48 (Distance: 13.944680)
Neighbor 2: Point 94 (Distance: 16.974039)
Neighbor 3: Point 58 (Distance: 18.802935)
Neighbor 4: Point 90 (Distance: 19.991196)
Neighbor 5: Point 36 (Distance: 23.639292)
Neighbor 1: Point 99 (Distance: 18.286200)
Neighbor 2: Point 61 (Distance: 21.126204)
Neighbor 3: Point 88 (Distance: 21.355852)
Neighbor 4: Point 40 (Distance: 22.705503)
Neighbor 5: Point 0 (Distance: 29.017805)
Neighbor 1: Point 37 (Distance: 10.666129)
Neighbor 2: Point 63 (Distance: 18.508451)
Neighbor 3: Point 71 (Distance: 20.552044)
Neighbor 4: Point 66 (Distance: 21.362902)
Neighbor 5: Point 8 (Distance: 24.971643)
Neighbor 1: Point 44 (Distance: 20.430855)
Neighbor 2: Point 36 (Distance: 22.849836)
Neighbor 3: Point 90 (Distance: 25.028477)
Neighbor 4: Point 16 (Distance: 25.731668)
Neighbor 5: Point 14 (Distance: 26.062901)
Neighbor 1: Point 24 (Distance: 13.164766)
Neighbor 2: Point 21 (Distance: 16.859316)
Neighbor 3: Point 27 (Distance: 29.116201)
Neighbor 4: Point 94 (Distance: 37.125057)
Neighbor 5: Point 32 (Distance: 41.051697)
Neighbor 1: Point 82 (Distance: 11.726719)
Neighbor 2: Point 96 (Distance: 13.646394)
Neighbor 3: Point 22 (Distance: 14.031786)
Neighbor 4: Point 56 (Distance: 18.324772)
Neighbor 5: Point 20 (Distance: 25.737873)
Neighbor 1: Point 51 (Distance: 5.557987)
Neighbor 2: Point 43 (Distance: 11.968772)
Neighbor 3: Point 67 (Distance: 18.453056)
Neighbor 4: Point 34 (Distance: 27.565001)
Neighbor 5: Point 33 (Distance: 36.681091)
Neighbor 1: Point 97 (Distance: 19.638844)
Neighbor 2: Point 56 (Distance: 21.732521)
Neighbor 3: Point 22 (Distance: 22.217575)
Neighbor 4: Point 10 (Distance: 22.434126)
Neighbor 5: Point 78 (Distance: 30.268965)
Neighbor 1: Point 50 (Distance: 5.611814)
Neighbor 2: Point 54 (Distance: 12.021146)
Neighbor 3: Point 45 (Distance: 13.162439)
Neighbor 4: Point 68 (Distance: 19.551512)
Neighbor 5: Point 12 (Distance: 20.936930)
Neighbor 1: Point 78 (Distance: 11.726719)
Neighbor 2: Point 22 (Distance: 12.020141)
Neighbor 3: Point 56 (Distance: 23.416897)
Neighbor 4: Point 17 (Distance: 24.114824)
Neighbor 5: Point 96 (Distance: 25.223866)
Neighbor 1: Point 87 (Distance: 9.886364)
Neighbor 2: Point 0 (Distance: 19.081806)
Neighbor 3: Point 62 (Distance: 20.092693)
Neighbor 4: Point 35 (Distance: 22.267282)
Neighbor 5: Point 2 (Distance: 22.500057)
Neighbor 1: Point 98 (Distance: 5.411060)
Neighbor 2: Point 28 (Distance: 12.504694)
Neighbor 3: Point 69 (Distance: 12.586877)
Neighbor 4: Point 49 (Distance: 13.204385)
Neighbor 5: Point 15 (Distance: 20.338140)
Neighbor 1: Point 20 (Distance: 11.765636)
Neighbor 2: Point 42 (Distance: 19.463917)
Neighbor 3: Point 18 (Distance: 21.609583)
Neighbor 4: Point 57 (Distance: 27.668848)
Neighbor 5: Point 6 (Distance: 31.621059)
Neighbor 1: Point 87 (Distance: 22.018354)
Neighbor 2: Point 7 (Distance: 22.300777)
Neighbor 3: Point 2 (Distance: 22.484207)
Neighbor 4: Point 83 (Distance: 24.934610)
Neighbor 5: Point 89 (Distance: 25.490229)
Neighbor 1: Point 83 (Distance: 9.886364)
Neighbor 2: Point 2 (Distance: 14.357717)
Neighbor 3: Point 0 (Distance: 17.525927)
Neighbor 4: Point 86 (Distance: 22.018354)
Neighbor 5: Point 53 (Distance: 24.679344)
Neighbor 1: Point 61 (Distance: 11.043598)
Neighbor 2: Point 23 (Distance: 14.844588)
Neighbor 3: Point 53 (Distance: 18.230995)
Neighbor 4: Point 99 (Distance: 19.002935)
Neighbor 5: Point 40 (Distance: 20.444040)
Neighbor 1: Point 91 (Distance: 13.547113)
Neighbor 2: Point 1 (Distance: 16.461691)
Neighbor 3: Point 30 (Distance: 17.555099)
Neighbor 4: Point 39 (Distance: 19.036167)
Neighbor 5: Point 4 (Distance: 23.191378)
Neighbor 1: Point 36 (Distance: 5.814627)
Neighbor 2: Point 14 (Distance: 8.120938)
Neighbor 3: Point 73 (Distance: 19.991196)
Neighbor 4: Point 72 (Distance: 20.804304)
Neighbor 5: Point 94 (Distance: 23.027367)
Neighbor 1: Point 1 (Distance: 10.058314)
Neighbor 2: Point 4 (Distance: 11.118648)
Neighbor 3: Point 89 (Distance: 13.547113)
Neighbor 4: Point 39 (Distance: 14.692108)
Neighbor 5: Point 30 (Distance: 20.063570)
Neighbor 1: Point 12 (Distance: 15.148077)
Neighbor 2: Point 59 (Distance: 16.858343)
Neighbor 3: Point 72 (Distance: 17.310667)
Neighbor 4: Point 35 (Distance: 18.081223)
Neighbor 5: Point 45 (Distance: 24.763601)
Neighbor 1: Point 60 (Distance: 5.541804)
Neighbor 2: Point 52 (Distance: 7.983993)
Neighbor 3: Point 1 (Distance: 22.941515)
Neighbor 4: Point 89 (Distance: 27.703661)
Neighbor 5: Point 86 (Distance: 30.230032)
Neighbor 1: Point 73 (Distance: 16.974039)
Neighbor 2: Point 48 (Distance: 17.423737)
Neighbor 3: Point 90 (Distance: 23.027367)
Neighbor 4: Point 32 (Distance: 23.660730)
Neighbor 5: Point 36 (Distance: 24.894896)
Neighbor 1: Point 50 (Distance: 20.803566)
Neighbor 2: Point 81 (Distance: 26.243912)
Neighbor 3: Point 54 (Distance: 27.919964)
Neighbor 4: Point 13 (Distance: 30.429352)
Neighbor 5: Point 45 (Distance: 32.905960)
Neighbor 1: Point 78 (Distance: 13.646394)
Neighbor 2: Point 18 (Distance: 19.906754)
Neighbor 3: Point 56 (Distance: 20.409073)
Neighbor 4: Point 82 (Distance: 25.223866)
Neighbor 5: Point 9 (Distance: 25.651703)
Neighbor 1: Point 10 (Distance: 12.318529)
Neighbor 2: Point 80 (Distance: 19.638844)
Neighbor 3: Point 5 (Distance: 27.525753)
Neighbor 4: Point 28 (Distance: 29.796532)
Neighbor 5: Point 7 (Distance: 31.970417)
Neighbor 1: Point 84 (Distance: 5.411060)
Neighbor 2: Point 49 (Distance: 7.934542)
Neighbor 3: Point 69 (Distance: 11.101949)
Neighbor 4: Point 28 (Distance: 15.960449)
Neighbor 5: Point 15 (Distance: 16.251598)
Neighbor 1: Point 40 (Distance: 4.471271)
Neighbor 2: Point 74 (Distance: 18.286200)
Neighbor 3: Point 88 (Distance: 19.002935)
Neighbor 4: Point 61 (Distance: 23.278685)
Neighbor 5: Point 70 (Distance: 24.022791)
Parallel time taken: 0.005087 seconds
